codigo_universal_linha,coluna,tipo_inconsistencia,categoria,cod_coluna
29312_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
80002_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
16448_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
80001_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
32338_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
80000_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
62274_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79999_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79998_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79997_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
68568_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
17290_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
55152_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79996_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
77805_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79995_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79994_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79993_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79865_2974710,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79864_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79863_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79862_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79861_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79860_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79859_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79858_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79857_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79856_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79855_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79854_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79853_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
76208_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
71438_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79852_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
15551_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79851_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79850_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
58100_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79849_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79848_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
6048_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79847_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79846_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
77432_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
74614_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79567_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79734_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79845_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
30378_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79844_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79843_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
53919_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79842_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79841_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79840_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79839_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79838_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79837_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
7198_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
56439_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79836_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
73297_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
75452_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
71504_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
79663_3071549,dt_cadastro_ciclo,dt_cadastro_ciclo_inferior,Oferta,21
