codigo_universal_linha,coluna,tipo_inconsistencia,categoria,cod_coluna
68265_2787041,no_curso,caracter_especial,Curso,13
68264_2787041,no_curso,caracter_especial,Curso,13
17041_2787041,no_curso,caracter_especial,Curso,13
68263_2787041,no_curso,caracter_especial,Curso,13
68262_2787041,no_curso,caracter_especial,Curso,13
68261_2787041,no_curso,caracter_especial,Curso,13
68260_2787041,no_curso,caracter_especial,Curso,13
68259_2787041,no_curso,caracter_especial,Curso,13
68258_2787041,no_curso,caracter_especial,Curso,13
68257_2787041,no_curso,caracter_especial,Curso,13
39659_2787041,no_curso,caracter_especial,Curso,13
68256_2787041,no_curso,caracter_especial,Curso,13
68255_2787041,no_curso,caracter_especial,Curso,13
17204_2787041,no_curso,caracter_especial,Curso,13
17582_1850402,no_curso,caracter_especial,Curso,13
17418_1850402,no_curso,caracter_especial,Curso,13
17581_1850402,no_curso,caracter_especial,Curso,13
17580_1850402,no_curso,caracter_especial,Curso,13
17579_1850402,no_curso,caracter_especial,Curso,13
17578_1850402,no_curso,caracter_especial,Curso,13
17577_1850402,no_curso,caracter_especial,Curso,13
4997_1850402,no_curso,caracter_especial,Curso,13
17576_1850402,no_curso,caracter_especial,Curso,13
17575_1850402,no_curso,caracter_especial,Curso,13
17574_1850402,no_curso,caracter_especial,Curso,13
17573_1850402,no_curso,caracter_especial,Curso,13
17572_1850402,no_curso,caracter_especial,Curso,13
17571_1850402,no_curso,caracter_especial,Curso,13
17570_1850402,no_curso,caracter_especial,Curso,13
17569_1850402,no_curso,caracter_especial,Curso,13
17568_1850402,no_curso,caracter_especial,Curso,13
17567_1850402,no_curso,caracter_especial,Curso,13
17566_1850402,no_curso,caracter_especial,Curso,13
17565_1850402,no_curso,caracter_especial,Curso,13
17564_1850402,no_curso,caracter_especial,Curso,13
4990_1850402,no_curso,caracter_especial,Curso,13
17563_1850402,no_curso,caracter_especial,Curso,13
17562_1850402,no_curso,caracter_especial,Curso,13
17561_1850402,no_curso,caracter_especial,Curso,13
17560_1850402,no_curso,caracter_especial,Curso,13
17559_1850402,no_curso,caracter_especial,Curso,13
17558_1850402,no_curso,caracter_especial,Curso,13
17557_1850402,no_curso,caracter_especial,Curso,13
17556_1850402,no_curso,caracter_especial,Curso,13
17555_1850402,no_curso,caracter_especial,Curso,13
17554_1850402,no_curso,caracter_especial,Curso,13
17553_1850402,no_curso,caracter_especial,Curso,13
17439_1850402,no_curso,caracter_especial,Curso,13
17552_1850402,no_curso,caracter_especial,Curso,13
17551_1850402,no_curso,caracter_especial,Curso,13
17550_1850402,no_curso,caracter_especial,Curso,13
17549_1850402,no_curso,caracter_especial,Curso,13
17548_1850402,no_curso,caracter_especial,Curso,13
17547_1850402,no_curso,caracter_especial,Curso,13
17546_1850402,no_curso,caracter_especial,Curso,13
