codigo_universal_linha,coluna,tipo_inconsistencia,categoria,cod_coluna
68270_2787041,nome_ciclo,caracter_especial,Oferta,20
68269_2787041,nome_ciclo,caracter_especial,Oferta,20
17039_2787041,nome_ciclo,caracter_especial,Oferta,20
68268_2787041,nome_ciclo,caracter_especial,Oferta,20
68267_2787041,nome_ciclo,caracter_especial,Oferta,20
68266_2787041,nome_ciclo,caracter_especial,Oferta,20
68265_2787041,nome_ciclo,caracter_especial,Oferta,20
68264_2787041,nome_ciclo,caracter_especial,Oferta,20
68263_2787041,nome_ciclo,caracter_especial,Oferta,20
68262_2787041,nome_ciclo,caracter_especial,Oferta,20
39657_2787041,nome_ciclo,caracter_especial,Oferta,20
68261_2787041,nome_ciclo,caracter_especial,Oferta,20
68260_2787041,nome_ciclo,caracter_especial,Oferta,20
17202_2787041,nome_ciclo,caracter_especial,Oferta,20
17580_1850402,nome_ciclo,caracter_especial,Oferta,20
17415_1850402,nome_ciclo,caracter_especial,Oferta,20
17579_1850402,nome_ciclo,caracter_especial,Oferta,20
17578_1850402,nome_ciclo,caracter_especial,Oferta,20
17577_1850402,nome_ciclo,caracter_especial,Oferta,20
17576_1850402,nome_ciclo,caracter_especial,Oferta,20
17575_1850402,nome_ciclo,caracter_especial,Oferta,20
4997_1850402,nome_ciclo,caracter_especial,Oferta,20
17574_1850402,nome_ciclo,caracter_especial,Oferta,20
17573_1850402,nome_ciclo,caracter_especial,Oferta,20
17572_1850402,nome_ciclo,caracter_especial,Oferta,20
17571_1850402,nome_ciclo,caracter_especial,Oferta,20
17570_1850402,nome_ciclo,caracter_especial,Oferta,20
17569_1850402,nome_ciclo,caracter_especial,Oferta,20
17568_1850402,nome_ciclo,caracter_especial,Oferta,20
17567_1850402,nome_ciclo,caracter_especial,Oferta,20
17566_1850402,nome_ciclo,caracter_especial,Oferta,20
17565_1850402,nome_ciclo,caracter_especial,Oferta,20
17564_1850402,nome_ciclo,caracter_especial,Oferta,20
17563_1850402,nome_ciclo,caracter_especial,Oferta,20
17562_1850402,nome_ciclo,caracter_especial,Oferta,20
4992_1850402,nome_ciclo,caracter_especial,Oferta,20
17561_1850402,nome_ciclo,caracter_especial,Oferta,20
17560_1850402,nome_ciclo,caracter_especial,Oferta,20
