codigo_universal_linha,coluna,tipo_inconsistencia,categoria,cod_coluna
79113_2985645,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
79112_2985645,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
79111_2985645,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
45676_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
37423_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
79072_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
37420_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
37344_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
55418_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
30966_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
52505_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
20169_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
14670_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
79071_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
40286_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
30961_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
79070_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
79069_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
79068_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
40290_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
11278_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
33320_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
79067_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
40284_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
69353_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
74065_2994688,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
2515_2652214,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
60516_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77625_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
61284_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77624_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53218_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77623_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77622_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
60649_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77621_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77620_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77619_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53197_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77618_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77617_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77616_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
41263_3036223,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77615_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77614_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
68932_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
74893_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53214_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77613_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53184_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
71449_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
44828_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
74868_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77612_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53195_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77611_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
74897_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53225_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
52829_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77610_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
77609_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
35416_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53204_3036217,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53653_2943927,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
52494_2937788,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
76418_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
58084_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
17580_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
76417_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53565_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
65235_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
56012_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
17327_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
41141_2859386,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
50076_2859380,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
8738_2943927,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
75728_2943927,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
53619_2943927,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
52814_2943927,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
52848_2943927,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
76244_2943927,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
52269_2943911,tipo_oferta,tipo_oferta_diferente_hifen,Oferta,33
