codigo_universal_linha,coluna,tipo_inconsistencia,categoria,cod_coluna
85310_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
64995_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
64994_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
55685_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85316_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
70768_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85315_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85314_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85313_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
81537_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
71028_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
30189_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
66365_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
68935_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85312_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
34837_3185691,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
60120_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53195_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53230_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
60510_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
74858_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85311_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53227_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53190_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53223_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
66392_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53221_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53188_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
74851_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53185_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
74830_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
64995_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
68952_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
68927_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
59304_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53175_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
70772_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
71451_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
37755_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53173_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85310_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53204_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53168_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53166_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53165_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53164_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53162_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
60636_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
53198_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
74814_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
54465_3185682,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85060_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85058_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
41242_3178046,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85056_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
39448_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85055_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85054_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85053_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
77397_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
76459_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85052_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85051_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
63479_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85050_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85049_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85048_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85047_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85046_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85045_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85044_3178031,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85035_3178046,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85043_3178046,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85034_3178046,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85042_3178046,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
85033_3178046,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
49789_3178046,tipo_oferta,diferente_hifen_e_não_conforme_a_regra,Oferta,33
